"Incident, Date","Total, Number, of, Dead, and, Missing","Number, of, Survivors","Number, of, Females","Number, of, Males","Number, of, Children","Region, of, Origin","Cause, of, Death","Migration, route","Location, of, death",Coordinates
2016-03-20,1,,,,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Canal, in, Mission,, Hidalgo, County,, Texas","-98.3833477, 26.376354"
2016-03-20,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border,, Khurbat, al-Juz-Güveççi, border, crossing","36.6230721, 36.7037377"
2016-03-20,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.705333, 32.0037"
2016-03-21,1,,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Km, 389, on, state, highway, Manlio, Fabio, Altamirando,, Soledad, de, Doblado,, Mexico","-96.4303668, 19.0459634"
2016-03-21,1,,,1,1,"Eastern, Africa","Sickness, /, lack, of, access, to, adequate, healthcare","Central, Mediterranean","San, Giovanni, di, Dio, Hospital,, Cagliari,, Italy","9.1054269, 39.1964403"
2016-03-22,1,1,,1,,"Central, America",Violence,,"Near, El, Ceibo,, on, federal, highway, El, Ceibo-Tenosique,, Mexico","-91.0024625, 17.2649928"
2016-03-23,2,,,2,,"Western, /, Southern, Asia, (P)","Mixed, or, unknown","Western, Balkans","Malko, Tarnovo,, Bulgaria, (near, border, with, Turkey)","27.52643, 41.9736149"
2016-03-24,1,,1,,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, northern, Aleppo, province","36.5756967, 36.7478496"
2016-03-24,1,,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport","US-Mexico, border, crossing","Yuma,, Arizona","-114.62762, 32.69266"
2016-03-24,2,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Wadi, Halfa, in, the, desert,, Sudan","31.2606253, 21.8240759"
2016-03-25,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown",,"San, Francisco, de, los, Romo,, Aguascaliente,, Mexico","-102.277884, 22.0741876"
2016-03-26,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Rio, Grande,, Hidalgo, County,, Texas","-98.3833477, 26.376354"
2016-03-26,12,,,,,Mixed,Drowning,"Central, Mediterranean","bodies, found, on, coast, of, Garabulli,, Libya","13.7026574, 32.791242"
2016-03-27,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","ranch, in, Falfurrias,, Hidalgo, County,, Texas","-98.3833477, 26.376354"
2016-03-28,84,1,,,,Mixed,Drowning,"Central, Mediterranean","off, the, coast, of, Libya","16.2301914, 33.4165331"
2016-03-28,2,4,,,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","US-Mexico, border, crossing","Interstate, 8, near, Andrade,, California","-114.7250593, 32.74410414"
2016-03-28,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border,, Ain, al-Kawakh, near, the, Khurbat, al-Juz-Güveççi, border, crossing","36.6132723, 36.7321844"
2016-03-29,3,,,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Aswan, desert,, Egypt","30.6654494, 23.459686"
2016-03-30,1,,,1,,"Central, America","Accidental, death","US-Mexico, border, crossing","Mexico-US, border,, Santa, Cruz, County,, Arizona","-111.0671389, 31.3649014"
2016-03-31,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Buale, (Bu'ale),, Somalia","42.4662352, 1.1344998"
2016-03-31,1,,,,,"Eastern, Africa, (P)",Violence,,"Jilib, ,, Somalia","42.7726829, 0.4930161"
2016-03-30,90,30,,,,Mixed,Drowning,"Central, Mediterranean","near, Sabratha,, Libya","12.376176, 32.7703544"
2016-03-31,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","A16, Motorway,, near, Calais,, France","1.8339367, 50.9518803"
2016-03-31,9,127,,,,Unknown,Drowning,"Central, Mediterranean","off, the, coast, of, Kafr, el-Sheikh,, Egypt","30.6261692, 31.6509306"
2016-03-31,4,,,,1,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Huehuetenango,, Guatemala","-91.4971903, 15.3179289"
2016-03-31,1,,,1,,"Central, America","Mixed, or, unknown",,"Body, found, in, orchard, in, Chahuites,, Oaxhaca,, Mexico","-94.1986669, 16.2907501"
2016-03-31,1,,,,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Sahara, Desert,, between, Khartoum,, Sudan, and, Tripoli,, Libya","24.4293268, 19.6438237"
2016-03-31,2,,,,,Unknown,"Sickness, /, lack, of, access, to, adequate, healthcare",,"Tripoli,, Libya","13.20507121, 32.89182212"
2016-03-31,2,,,,,Unknown,"Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Sabha,, Libya","14.7805861, 26.87986026"
2016-03-31,2,,,,,Unknown,Violence,,"Subratah,, Libya","12.4495221, 32.7811016"
2016-03-31,3,,,,,Unknown,"Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Unspecified, location,, Algeria","3.988727563, 23.84636296"
2016-04-29,1,,,1,,"Central, America","Sickness, /, lack, of, access, to, adequate, healthcare",,"El, Escopetazo,, Chiapas,, Mexico","-92.9281107, 16.748864"
2016-04-01,1,,,1,,"Western, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","In, Oxfordshire,, England","-1.4500839, 51.7443629"
2016-04-01,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.138344, 32.423462"
2016-04-01,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.115617, 32.329483"
2016-04-04,1,,,1,,"South, America",Drowning,"Venezuela, to, Caribbean","Baby, Beach,, San, Nicholas,, Aruba","-69.9149146, 12.4281058"
2016-04-05,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Rio, Grande, near, Nuevo, Laredo,, Tamaulipas,, Mexico","-99.6148525, 27.4531416"
2016-04-06,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Franklin, Canal,, near, Free, Bridge,, Ciudad, Juarez,, Chihuahua,, Mexico","-106.3496958, 31.6473881"
2016-04-06,1,,,,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"train, tracks, near, Wameru,, Queretaro,, Mexico","-100.2090209, 20.5730306"
2016-04-06,2,,,2,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border","37.1258349, 36.4614791"
2016-04-07,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.385941, 31.888497"
2016-04-07,1,,1,,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.14965, 31.95437"
2016-04-07,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Ras, al-Ayn, (Sri, Kaneh)","40.06065849, 36.85458989"
2016-04-08,5,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","In, the, Sahara, desert,, between, Atbara,, Sudan, and, Abu, Simbel,, Egypt","30.8143955, 21.9464708"
2016-04-08,7,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","In, Sahara, desert, near, Aswan,, Egypt","30.6654494, 23.459686"
2016-04-08,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.10063, 31.80408"
2016-04-08,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Rio, Grande, near, La, Playita,, Reynosa,, Tamaulipas,, Mexico","-98.2979141, 26.0227177"
2016-04-08,1,2,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Federal, highway, El, Ceibo-Tenosique,, Mexico","-91.001789, 17.2645349"
2016-04-09,9,5,4,,1,"Western, /, Southern, Asia, (P)",Drowning,"Eastern, Mediterranean","Near, Samos, Island,, Greece","26.6778283, 37.7245805"
2016-04-09,1,,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Rio, Blanco,, Veracruz,, Mexico","-96.2113357, 19.1787635"
2016-04-09,1,,,1,,"Central, America",Violence,,"Unspecifiend, location, along, the, US-Mexico, border,, Mexican, side","-106.049866, 31.355119"
2016-04-09,459,37,1,,1,Mixed,Drowning,"Central, Mediterranean","2, hours, off, the, coast, of, el-Saloum,, Egypt","25.164174, 31.5760031"
2016-04-11,3,,2,1,,Unknown,Drowning,"Central, Mediterranean","Bodies, found, at, Port, of, Ketef,, near, Ben, Guerdène,, Tunisia","11.2132544, 33.2086099"
2016-04-12,1,,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","US-Mexico, border, crossing","Train, rails, in, Nava, municipality,, near, Piedras, Negras,, Coahuila,, Mexico","-103.434484, 27.1334908"
2016-04-12,4,,,,,Unknown,Drowning,"Central, Mediterranean","Bodies, found, at, Port, of, Ketef,, near, Ben, Guerdène,, Tunisia","11.2132544, 33.2086099"
2016-04-13,2,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Sinai,, Egypt","33.9750461, 29.5056218"
2016-04-14,1,,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Tenosique, El, Ceibo, road,, between, the, municipalities, Xotal, y, Sueños, de, Oro,, Mexico","-91.4563122, 17.4520957"
2016-04-14,1,,,1,1,"Western, Asia",Violence,"Syria, to, Turkey",", Syrian/Turkish, border,, near, al-Duriya","36.5208678, 35.9982152"
2016-04-15,1,,1,,1,"Western, Asia",Drowning,"Eastern, Mediterranean","Near, Izmir,, Turkey,, possibly, en, route, to, Samos,, Greece","26.6778283, 37.7245805"
2016-04-15,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Idlib, province","36.31663, 36.0895263"
2016-04-16,3,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","In, Sahara, desert,, between, Atbara,, Sudan, and, Abu, Simbel,, Egypt","32.4381898, 20.5754102"
2016-04-16,2,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Abu, Hamad,, Sudan","33.2973288, 19.5252595"
2016-04-16,6,,,,,"Sub-Saharan, Africa, (P)",Drowning,"Western, Mediterranean","Off, the, coast, of, Motril,, Almería,, Spain","-3.5275532, 36.7489322"
2016-04-17,2,,1,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border,, near, Khurbat, al-Juz-Güveççi, border, crossing","36.6177616, 36.6957086"
2016-04-17,32,108,,,,Mixed,"Mixed, or, unknown","Central, Mediterranean","off, the, coast, of, Lampedusa,, Italy","12.5050901, 35.5012182"
2016-04-18,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.832183, 32.713283"
2016-04-18,1,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Near, Bali,, Ethiopia","39.4434898, 6.773055"
2016-04-18,1,,,,,"Eastern, Africa, (P)","Mixed, or, unknown",,"Near, Las'anod,, Somalia","47.3474798, 8.476128"
2016-04-18,3,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Khartoum,, Sudan","32.5025561, 15.5015341"
2016-04-19,1,,,,,"Eastern, Africa, (P)","Mixed, or, unknown",,"Near, Tanzania-Kenya, border,, Tanzania","35.1831035, -1.6779613"
2016-04-19,3,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Shimalia, (Al, Shamaliyah, ),, Sudan","27.9053789, 19.4022552"
2016-04-19,1,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Aswan,, Egypt","31.5204557, 23.285107"
2016-04-19,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Kuran,, Afrin,, northwestern, Aleppo, province","36.9058599, 36.5360042"
2016-04-20,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Kafr, Sajneh,, Idlib, province","36.3482165, 36.0807378"
2016-04-20,2,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","In, the, mountain, cave,, between, Atbara,, Sudan, and, Abu, Simbel,, Egypt","31.5462804, 22.3202209"
2016-04-20,2,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Banisute, near, to, Cairo,, Egypt","31.2162332, 30.0469989"
2016-04-20,5,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Wadi, Halfa,, Sudan","31.2606253, 21.8240759"
2016-04-20,3,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Near, to, Abu, Hamad, small, town.,, Sudan","33.2973288, 19.5252595"
2016-04-21,2,,,,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Khartoum,, Sudan","32.5025561, 15.5015341"
2016-04-21,2,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Shimalia, (Al, Shamaliyah, ),, Sudan","27.9053789, 19.4022552"
2016-04-21,1,,,,,"Eastern, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Aswan,, Egypt","31.5204557, 23.285107"
2016-04-21,2,,,,,"Eastern, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Shimalia, (Al, Shamaliyah, ),, Sudan","27.9053789, 19.4022552"
2016-04-21,3,,,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Aswan, desert,, Egypt","30.6654494, 23.459686"
2016-04-21,1,,,1,,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Plutarco, Elías, Calles, Municipality,, Hermosillo,, Sonora, State,, Mexico","-110.9591883, 29.0742604"
2016-04-21,1,,,,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Rio, Grande, near, Km., 183, of, the, Riberena, highway,, Reynosa,, Mexico","-98.3662434, 26.0525676"
2016-04-21,1,,,1,,"Latin, America, /, Caribbean, (P)",Violence,,"Coatan, River, in, Tapachula,, Chiapas,, Mexico","-92.5947624, 14.9267823"
2016-04-21,1,,,1,,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water",,"Outskirts, of, Hermosillo,, Sonora,, Mexico","-111.1570932, 29.1625119"
2016-04-22,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, al-Khyara,, Maarrat, al-Nu'man,, Idlib, province","36.6679377, 35.646973"
2016-04-23,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, northern, Idlib, province","36.2314017, 36.0975296"
2016-04-23,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.754, 32.657333"
2016-04-23,3,1,,,,"Northern, Africa",Drowning,"Western, Mediterranean","Off, the, coast, of, Cabo, de, Gata,, Almería,, Spain","-2.1652845, 36.7271909"
2016-04-24,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Rio, Grande, near, Reynosa, (Hidalgo, County,, Texas)","-98.3833477, 26.376354"
2016-04-27,13,19,,,,"Northern, Africa",Violence,"Sahara, Desert, crossing","Bani, Walid,, Libya","13.9776971, 31.7602016"
2016-04-27,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Idlib, province","36.31663, 36.0895263"
2016-04-28,1,,1,,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Deir, Sawan,, Afrin","36.57653, 36.6013358"
2016-04-29,84,26,,,,"Sub-Saharan, Africa, (P)",Drowning,"Central, Mediterranean","near, Sabratha,, Libya","12.376176, 32.7703544"
2016-04-29,20,105,,,,"Sub-Saharan, Africa",Drowning,"Central, Mediterranean","Off, the, coast, of, Libya","16.2301914, 33.4165331"
2016-04-29,9,,,,,"Sub-Saharan, Africa, (P)",Drowning,"Central, Mediterranean","Off, the, coast, of, Libya","16.2301914, 33.4165331"
2016-04-29,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Rio, Grande,, near, Matamoros,, Tamaulipas,, Mexico","-99.4332699, 24.215586"
2016-04-29,2,,,,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Sahara, Desert,, between, Khartoum,, Sudan, and, Libya","24.4293268, 19.6438237"
2016-04-29,1,,,,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Sahara, Desert,, between, Khartoum,, Sudan, and, Libya","24.4293268, 19.6438237"
2016-04-29,1,,,,,Unknown,"Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Sahara, Desert,, between, Agadez,, Niger, and, Tripoli,, Libya","12.93933141, 22.73438554"
2016-04-29,1,,,,,Unknown,"Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Sahara, Desert,, Algeria","0.7675956, 27.790343"
2016-04-29,1,,,,,Unknown,Violence,"Sahara, Desert, crossing","Sahara, Desert,, between, Agadez,, Niger, and, Tripoli,, Libya","12.93933141, 22.73438554"
2016-04-29,1,,,,,Unknown,Violence,"Sahara, Desert, crossing","Bani, Walid,, Libya","14.02758347, 31.71818076"
2016-04-29,5,,,,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Sahara, Desert, between, Khartoum,, Sudan, and, Tripoli,, Libya","24.39488209, 21.66345033"
2016-05-01,7,,5,,2,"Eastern, Africa",Drowning,,"off, Mayotte,, France","45.0189863, -12.8209326"
2016-05-03,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Rio, Grande,, near, Eagle, Pass,, Maverick, county,, Texas","-100.5282163, 28.6376735"
2016-05-03,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Rio, Grande,, near, Reynosa,, Tamaulipas,, Mexico","-99.4332699, 24.215586"
2016-05-05,1,,,,1,Unknown,Drowning,"Western, Mediterranean","Harbor, of, Melilla,, Spain","-2.9508781, 35.2862703"
2016-05-06,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.394867, 32.088883"
2016-05-06,1,,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Empalme,, Sonora,, Mexico","-110.8172071, 27.9616696"
2016-05-06,2,8,1,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Bypass, road,, PakPrak, subdistrict,, Muang, district,, Kanjanaburi, province,, Thailand","99.5297976, 14.0193696"
2016-05-08,1,,,1,,"Western, Asia",Violence,"Syria, to, Turkey","Syrian/Turkish, border, near, Marqabah,, Al-Raqqah, province","38.9514836, 36.4505102"
